Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
Lesotho,LSO,Southern Africa,2074.00,4672.77,2447.57,2129.95,1150.74,0.461
Liberia,LBR,Western Africa,4294.00,2218.95,1733.82,537.46,277.90,0.388
Libya,LBY,Northern Africa,6202.00,n/a,n/a,n/a,n/a,0.769
Liechtenstein,LIE,Western Europe,37.00,n/a,n/a,n/a,n/a,0.883
Lithuania,LTU,Northern Europe,3017.00,68196.74,42343.52,22521.30,14212.34,0.818
Luxembourg,LUX,Western Europe,530.00,46055.27,55143.00,88670.15,111689.01,0.875
Macao SAR (China),MAC,Eastern Asia,n/a,64300.63,43582.27,115440.99,66062.91,n/a
"Macedonia, FYR",MKD,Southern Europe,2107.00,24614.09,9612.52,11957.29,5050.45,0.740
Madagascar,MDG,Eastern Africa,22925.00,30095.72,9975.12,1411.94,469.73,0.483
Malawi,MWI,Eastern Africa,16363.00,14960.07,4263.79,972.64,476.15,0.418
Malaysia,MYS,South-Eastern Asia,29717.00,606097.86,305032.75,20925.90,9979.26,0.769
Maldives,MDV,Southern Asia,345.00,3704.05,2222.43,11392.35,6652.53,0.688
Mali,MLI,Western Africa,15302.00,23904.05,10387.72,1509.14,672.25,0.344
Malta,MLT,Southern Europe,429.00,11869.66,8740.97,28608.50,22200.94,0.847
Marshall Islands,MHL,Micronesia,53.00,n/a,182.40,n/a,n/a,n/a
Martinique,MTQ,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Mauritania,MRT,Western Africa,3890.00,11301.76,4199.05,3191.20,1295.11,0.467
Mauritius,MUS,Eastern Africa,1244.00,20259.75,10486.04,15505.78,8610.64,0.737
Mayotte,MYT,Eastern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,MEX,Central America,122332.00,1894552.03,1178126.18,16377.12,10115.01,0.775
Micronesia (Fed. States of),FSM,Micronesia,104.00,n/a,326.16,n/a,n/a,0.645
"Moldova, Rep.",MDA,Eastern Europe,3487.00,14877.95,7252.77,4179.21,1970.50,0.660
Monaco,MCO,Western Europe,38.00,n/a,n/a,n/a,n/a,n/a
Mongolia,MNG,Eastern Asia,2839.00,23359.03,10271.39,8718.72,3700.51,0.675
Montenegro,MNE,Southern Europe,621.00,8767.77,4373.17,14127.89,7244.33,0.791
Montserrat,MSR,Caribbean,n/a,81.02,n/a,15762.41,11342.72,n/a
Morocco,MAR,Northern Africa,33008.00,218283.35,95981.57,6763.66,3074.13,0.591
Mozambique,MOZ,Eastern Africa,25834.00,22754.02,14243.72,950.87,524.36,0.327
Myanmar,MMR,South-Eastern Asia,53259.00,192055.36,n/a,3180.78,913.78,0.498
Namibia,NAM,Southern Africa,2303.00,19429.14,13072.28,8360.20,5369.08,0.608
Nauru,NRU,Micronesia,10.00,n/a,18962.96,n/a,n/a,n/a
Nepal,NPL,Southern Asia,27797.00,58856.31,n/a,2221.50,739.14,0.463
Netherlands,NLD,Western Europe,16759.00,720274.46,770060.39,43149.59,49888.02,0.921
